pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
100,0,1,34970430.91989335,40,1,-1,-1,-1,-1,76680,77424,24.558444023132324,15.835641295600281,20
90,0,1,34881840.25697317,40,2,-1,-1,-1,-1,7060,7804,21.710505485534668,15.87585964273473,20
80,0,1,34734577.28382728,40,3,-1,-1,-1,-1,3695,4439,17.813875675201416,15.943167969913492,20
70,0,1,34529222.59120898,40,4,-1,-1,-1,-1,3922,4666,16.082438230514526,16.03798633279946,20
60,0,1,34266585.79903243,40,5,-1,-1,-1,-1,3160,3904,14.284831285476685,16.160909734276384,20
50,0,1,33947702.364410535,40,6,-1,-1,-1,-1,2741,3485,13.084499835968018,16.312715189248294,20
100,0.05,1,33573829.49931972,40,7,-1,-1,-1,-1,41694,42438,24.114489555358887,16.494371010349617,20
90,0.05,1,33146441.213986304,40,8,-1,-1,-1,-1,6575,7319,20.211734771728516,16.707048470902816,20
80,0.05,1,32667222.505536392,40,9,-1,-1,-1,-1,3512,4256,16.819242238998413,16.95213604113868,20
70,0.05,1,32138062.71482048,40,10,-1,-1,-1,-1,3521,4265,15.25073766708374,17.231256436145557,20
60,0.05,1,31561048.077604026,40,11,-1,-1,-1,-1,2855,3599,13.283734321594238,17.546286759499793,20
50,0.05,1,30938453.499491103,40,12,-1,-1,-1,-1,2577,3321,12.373554706573486,17.899382075096575,20
100,0.1,1,30272733.58700893,40,13,-1,-1,-1,-1,39309,40053,16.733505725860596,18.29300279105438,20
90,0.1,1,29566512.970213614,40,14,-1,-1,-1,-1,7404,8148,16.903057098388672,18.72994629288538,20
80,0.1,1,28822575.954970628,40,15,-1,-1,-1,-1,4689,5433,15.511105060577393,19.21338331678496,20
70,0.1,1,28043855.54570636,40,16,-1,-1,-1,-1,3923,4667,13.956491947174072,19.746899605064684,20
60,0.1,1,27233421.88190912,40,17,-1,-1,-1,-1,3140,3884,12.570210695266724,20.3345434298093,20
50,0.1,1,26394470.13396903,40,18,-1,-1,-1,-1,2239,2983,11.131397485733032,20.980879600507677,20
100,0.15,1,25530307.90607815,40,19,-1,-1,-1,-1,38456,39200,12.780903577804565,21.691050575545884,20
90,0.15,1,24644342.19585536,40,20,-1,-1,-1,-1,8849,9593,12.67979621887207,22.47084525928769,20
80,0.15,1,23740065.962108318,40,21,-1,-1,-1,-1,4837,5581,11.91158652305603,23.32677596110688,20
70,0.15,1,22821044.35368957,40,22,-1,-1,-1,-1,3471,4215,10.98694920539856,24.26616378362493,20
60,0.15,1,21890900.65374034,40,23,-1,-1,-1,-1,2745,3489,9.93637502193451,25.29723234139203,20
