pruning_thresh,quality,technique,bandwidth,mAP_drop,frame_id,sparsity,decomposability,regularity,pictoriality,datasize_est,datasize_real,reconstruct_snr,target_cmp,target_snr
100,0,1,34970430.91989335,40,1,-1,-1,-1,-1,76680,77424,24.558444023132324,9.897275809750175,20
90,0,1,34881840.25697317,40,2,-1,-1,-1,-1,7060,7804,21.710505485534668,9.922412276709206,20
80,0,1,34734577.28382728,40,3,-1,-1,-1,-1,3695,4439,17.813875675201416,9.964479981195934,20
70,0,1,34529222.59120898,40,4,-1,-1,-1,-1,3922,4666,16.082438230514526,10.02374145799966,20
60,0,1,34266585.79903243,40,5,-1,-1,-1,-1,3160,3904,14.284831285476685,10.100568583922739,20
50,0,1,33947702.364410535,40,6,-1,-1,-1,-1,2741,3485,13.084499835968018,10.195446993280184,20
100,0.05,1,33573829.49931972,40,7,-1,-1,-1,-1,41694,42438,24.114489555358887,10.308981881468512,20
90,0.05,1,33146441.213986304,40,8,-1,-1,-1,-1,6575,7319,20.211734771728516,10.44190529431426,20
80,0.05,1,32667222.505536392,40,9,-1,-1,-1,-1,3512,4256,16.819242238998413,10.595085025711672,20
70,0.05,1,32138062.71482048,40,10,-1,-1,-1,-1,3521,4265,15.25073766708374,10.769535272590971,20
60,0.05,1,31561048.077604026,40,11,-1,-1,-1,-1,2855,3599,13.283734321594238,10.966429224687372,20
50,0.05,1,30938453.499491103,40,12,-1,-1,-1,-1,2577,3321,12.373554706573486,11.18711379693536,20
100,0.1,1,30272733.58700893,40,13,-1,-1,-1,-1,39309,40053,16.733505725860596,11.433126744408986,20
90,0.1,1,29566512.970213614,40,14,-1,-1,-1,-1,7404,8148,16.903057098388672,11.706216433053363,20
80,0.1,1,28822575.954970628,40,15,-1,-1,-1,-1,4689,5433,15.511105060577393,12.0083645729906,20
70,0.1,1,28043855.54570636,40,16,-1,-1,-1,-1,3923,4667,13.956491947174072,12.341812253165427,20
